Key,English,Русский
Start,Start2,Старт2
Finish,Finish,Финиш2
MENU,MENU,МЕНЮ
CONTINUE,CONTINUE,ПРОДОЛЖИТЬ
RESTART,RESTART,РЕСТАРТ
LEAVE,LEAVE,ВЫЙТИ
NEXT,NEXT,ДАЛЕЕ
YOULOSE,YOU LOSE!,ВЫ ПРОИГРАЛИ!
YOUWIN,YOU WIN!,ВЫ ВЫИГРАЛИ!
PLAY,PLAY,ИГРАТЬ
BACK,BACK,НАЗАД
GALACTIC,GALACTIC,ГАЛАКТИКА
NOTFOUND,NOT FOUND,НЕ ОБНАРУЖЕНА
SIGARA,SIGARA,СИГАРА
SOMBRERO,SOMBRERO,СОМБРЕРО
MILKYWAY,MILKY WAY,МЛЕЧНЫЙ ПУТЬ
LASTTRY,LAST TRY,ПОСЛЕДНЯЯ ПОПЫТКА
NextRecharge,1 ENERGY:,1 ЭНЕРГИЯ:
FullRecharge,FULL ENERGY:,ПОЛНАЯ ЭНЕРГИЯ:
LACKOFENERGY,НЕ ХВАТАЕТ ЭНЕРГИИ!,LACK OF ENERGY!
BUY,КУПИТЬ,BUY
